归属省份,中文名,adcode
北京市,东城区,110101
北京市,西城区,110102
北京市,朝阳区,110105
北京市,丰台区,110106
北京市,石景山区,110107
北京市,海淀区,110108
北京市,门头沟区,110109
北京市,房山区,110111
北京市,通州区,110112
北京市,顺义区,110113
北京市,昌平区,110114
北京市,大兴区,110115
北京市,怀柔区,110116
北京市,平谷区,110117
北京市,密云区,110118
北京市,延庆区,110119
天津市,和平区,120101
天津市,河东区,120102
天津市,河西区,120103
天津市,南开区,120104
天津市,河北区,120105
天津市,红桥区,120106
天津市,东丽区,120110
天津市,西青区,120111
天津市,津南区,120112
天津市,北辰区,120113
天津市,武清区,120114
天津市,宝坻区,120115
天津市,滨海新区,120116
天津市,宁河区,120117
天津市,静海区,120118
天津市,蓟州区,120119
河北省,长安区,130102
河北省,桥西区,130104
河北省,新华区,130105
河北省,井陉矿区,130107
河北省,裕华区,130108
河北省,藁城区,130109
河北省,鹿泉区,130110
河北省,栾城区,130111
河北省,井陉县,130121
河北省,正定县,130123
河北省,行唐县,130125
河北省,灵寿县,130126
河北省,高邑县,130127
河北省,深泽县,130128
河北省,赞皇县,130129
河北省,无极县,130130
河北省,平山县,130131
河北省,元氏县,130132
河北省,赵县,130133
河北省,辛集市,130181
河北省,晋州市,130183
河北省,新乐市,130184
河北省,路南区,130202
河北省,路北区,130203
河北省,古冶区,130204
河北省,开平区,130205
河北省,丰南区,130207
河北省,丰润区,130208
河北省,曹妃甸区,130209
河北省,滦县,130223
河北省,滦南县,130224
河北省,乐亭县,130225
河北省,迁西县,130227
河北省,玉田县,130229
河北省,遵化市,130281
河北省,迁安市,130283
河北省,海港区,130302
河北省,山海关区,130303
河北省,北戴河区,130304
河北省,抚宁区,130306
河北省,青龙满族自治县,130321
河北省,昌黎县,130322
河北省,卢龙县,130324
河北省,邯山区,130402
河北省,丛台区,130403
河北省,复兴区,130404
河北省,峰峰矿区,130406
河北省,肥乡区,130407
河北省,永年区,130408
河北省,临漳县,130423
河北省,成安县,130424
河北省,大名县,130425
河北省,涉县,130426
河北省,磁县,130427
河北省,邱县,130430
河北省,鸡泽县,130431
河北省,广平县,130432
河北省,馆陶县,130433
河北省,魏县,130434
河北省,曲周县,130435
河北省,武安市,130481
河北省,桥东区,130502
河北省,桥西区,130503
河北省,邢台县,130521
河北省,临城县,130522
河北省,内丘县,130523
河北省,柏乡县,130524
河北省,隆尧县,130525
河北省,任县,130526
河北省,南和县,130527
河北省,宁晋县,130528
河北省,巨鹿县,130529
河北省,新河县,130530
河北省,广宗县,130531
河北省,平乡县,130532
河北省,威县,130533
河北省,清河县,130534
河北省,临西县,130535
河北省,南宫市,130581
河北省,沙河市,130582
河北省,竞秀区,130602
河北省,莲池区,130606
河北省,满城区,130607
河北省,清苑区,130608
河北省,徐水区,130609
河北省,涞水县,130623
河北省,阜平县,130624
河北省,定兴县,130626
河北省,唐县,130627
河北省,高阳县,130628
河北省,容城县,130629
河北省,涞源县,130630
河北省,望都县,130631
河北省,安新县,130632
河北省,易县,130633
河北省,曲阳县,130634
河北省,蠡县,130635
河北省,顺平县,130636
河北省,博野县,130637
河北省,雄县,130638
河北省,涿州市,130681
河北省,定州市,130682
河北省,安国市,130683
河北省,高碑店市,130684
河北省,桥东区,130702
河北省,桥西区,130703
河北省,宣化区,130705
河北省,下花园区,130706
河北省,万全区,130708
河北省,崇礼区,130709
河北省,张北县,130722
河北省,康保县,130723
河北省,沽源县,130724
河北省,尚义县,130725
河北省,蔚县,130726
河北省,阳原县,130727
河北省,怀安县,130728
河北省,怀来县,130730
河北省,涿鹿县,130731
河北省,赤城县,130732
河北省,双桥区,130802
河北省,双滦区,130803
河北省,鹰手营子矿区,130804
河北省,承德县,130821
河北省,兴隆县,130822
河北省,滦平县,130824
河北省,隆化县,130825
河北省,丰宁满族自治县,130826
河北省,宽城满族自治县,130827
河北省,围场满族蒙古族自治县,130828
河北省,平泉市,130881
河北省,新华区,130902
河北省,运河区,130903
河北省,沧县,130921
河北省,青县,130922
河北省,东光县,130923
河北省,海兴县,130924
河北省,盐山县,130925
河北省,肃宁县,130926
